District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Lakshadweep,'15.2.1',Number of Hb tests conducted,TOTAL,2157,2157,NA,NA,2157,2130,2130,NA,NA,2130,2013,2013,NA,NA,2013,2758,2758,NA,NA,2758,2849,2849,NA,NA,2849,2784,2784,NA,NA,2784,2867,2867,NA,NA,2867,2820,2820,NA,NA,2820,2519,2519,NA,NA,2519,2788,2788,NA,NA,2788,5188,5188,NA,NA,5188,3000,3000,NA,NA,3000,33873,33873,NA,NA,33873
Lakshadweep,'15.2.2',"Out of the total number of Hb tests done, Number having Hb < 7 mg",TOTAL,7,7,NA,NA,7,8,8,NA,NA,8,12,12,NA,NA,12,9,9,NA,NA,9,12,12,NA,NA,12,16,16,NA,NA,16,14,14,NA,NA,14,15,15,NA,NA,15,11,11,NA,NA,11,15,15,NA,NA,15,10,10,NA,NA,10,18,18,NA,NA,18,147,147,NA,NA,147
Lakshadweep,'15.3.1.a',Male HIV - Number Tested,TOTAL,142,142,NA,NA,142,119,119,NA,NA,119,159,159,NA,NA,159,167,167,NA,NA,167,155,155,NA,NA,155,170,170,NA,NA,170,85,85,NA,NA,85,163,163,NA,NA,163,188,188,NA,NA,188,194,194,NA,NA,194,151,151,NA,NA,151,128,128,NA,NA,128,1821,1821,NA,NA,1821
Lakshadweep,'15.3.1.b',Male HIV - Number Positive,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'15.3.2.a',Female Non ANC HIV - Number Tested,TOTAL,96,96,NA,NA,96,31,31,NA,NA,31,54,54,NA,NA,54,111,111,NA,NA,111,94,94,NA,NA,94,101,101,NA,NA,101,132,132,NA,NA,132,163,163,NA,NA,163,134,134,NA,NA,134,198,198,NA,NA,198,153,153,NA,NA,153,157,157,NA,NA,157,1424,1424,NA,NA,1424
Lakshadweep,'15.3.2.b',Female Non ANC HIV - Number Positive,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'15.3.3.a',Number of pregnant women screened for HIV,TOTAL,88,88,NA,NA,88,127,127,NA,NA,127,148,148,NA,NA,148,133,133,NA,NA,133,144,144,NA,NA,144,105,105,NA,NA,105,131,131,NA,NA,131,125,125,NA,NA,125,167,167,NA,NA,167,159,159,NA,NA,159,135,135,NA,NA,135,145,145,NA,NA,145,1607,1607,NA,NA,1607
Lakshadweep,'15.3.3.b',"Out of the above, number screened positive",TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'15.3.3.c',"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'15.3.4.a',Number of Male STI/RTI attendees tested for syphilis,TOTAL,56,56,NA,NA,56,46,46,NA,NA,46,40,40,NA,NA,40,74,74,NA,NA,74,64,64,NA,NA,64,74,74,NA,NA,74,61,61,NA,NA,61,47,47,NA,NA,47,19,19,NA,NA,19,62,62,NA,NA,62,49,49,NA,NA,49,17,17,NA,NA,17,609,609,NA,NA,609
Lakshadweep,'15.3.4.b',Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,1,1,NA,NA,1,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3
Lakshadweep,'15.3.4.c',Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,18,18,NA,NA,18,6,6,NA,NA,6,8,8,NA,NA,8,27,27,NA,NA,27,13,13,NA,NA,13,19,19,NA,NA,19,46,46,NA,NA,46,25,25,NA,NA,25,10,10,NA,NA,10,5,5,NA,NA,5,50,50,NA,NA,50,28,28,NA,NA,28,255,255,NA,NA,255
Lakshadweep,'15.3.4.d',Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'15.4.1',Widal tests - Number Tested,TOTAL,147,147,NA,NA,147,131,131,NA,NA,131,136,136,NA,NA,136,148,148,NA,NA,148,141,141,NA,NA,141,131,131,NA,NA,131,271,271,NA,NA,271,169,169,NA,NA,169,141,141,NA,NA,141,206,206,NA,NA,206,128,128,NA,NA,128,102,102,NA,NA,102,1851,1851,NA,NA,1851
Lakshadweep,'15.4.2',Widal tests - Number Positive,TOTAL,50,50,NA,NA,50,15,15,NA,NA,15,9,9,NA,NA,9,24,24,NA,NA,24,13,13,NA,NA,13,12,12,NA,NA,12,17,17,NA,NA,17,26,26,NA,NA,26,20,20,NA,NA,20,39,39,NA,NA,39,5,5,NA,NA,5,11,11,NA,NA,11,241,241,NA,NA,241
Lakshadweep,'16.1',Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,2,2,NA,NA,2
Lakshadweep,'16.2.1',Infant Deaths up to 4 weeks due to Sepsis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.2.2',Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1
Lakshadweep,'16.2.3',Infant Deaths up to 4 weeks due to Other causes,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1
Lakshadweep,'16.3.1',Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.3.2',Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
