District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Lakshadweep,'16.7.5',Number of Adolscent / Adult deaths due to HIV/AIDS,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.7.6',Number of Adolscent / Adult deaths due to Heart disease/Hypertension related,TOTAL,10,10,NA,NA,10,4,4,NA,NA,4,6,6,NA,NA,6,8,8,NA,NA,8,7,7,NA,NA,7,7,7,NA,NA,7,9,9,NA,NA,9,10,10,NA,NA,10,13,13,NA,NA,13,10,10,NA,NA,10,4,4,NA,NA,4,5,5,NA,NA,5,93,93,NA,NA,93
Lakshadweep,'16.7.7',Number of Adolscent / Adult deaths due to Cancer,TOTAL,2,2,NA,NA,2,3,3,NA,NA,3,1,1,NA,NA,1,5,5,NA,NA,5,6,6,NA,NA,6,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,5,5,NA,NA,5,23,23,NA,NA,23
Lakshadweep,'16.7.8',Number of Adolscent / Adult deaths due to Neurological disease including strokes,TOTAL,1,1,NA,NA,1,1,1,NA,NA,1,3,3,NA,NA,3,3,3,NA,NA,3,1,1,NA,NA,1,1,1,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,2,4,4,NA,NA,4,2,2,NA,NA,2,0,0,NA,NA,0,3,3,NA,NA,3,23,23,NA,NA,23
Lakshadweep,'16.7.9',Number of Adolscent / Adult deaths due to Accidents/Burn cases,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4
Lakshadweep,'16.7.10',Number of Adolscent / Adult deaths due to Suicide,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.7.11',Number of Adolscent / Adult deaths due to Animal bites and stings,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.7.12',Number of Adolscent / Adult deaths due to Known Acute Disease,TOTAL,2,2,NA,NA,2,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,8,8,NA,NA,8
Lakshadweep,'16.7.13',Number of Adolscent / Adult deaths due to Known Chronic Disease,TOTAL,0,0,NA,NA,0,2,2,NA,NA,2,2,2,NA,NA,2,5,5,NA,NA,5,3,3,NA,NA,3,5,5,NA,NA,5,1,1,NA,NA,1,4,4,NA,NA,4,4,4,NA,NA,4,2,2,NA,NA,2,5,5,NA,NA,5,3,3,NA,NA,3,36,36,NA,NA,36
Lakshadweep,'16.7.14',Number of Adolscent / Adult deaths due to Causes not known,TOTAL,6,6,NA,NA,6,8,8,NA,NA,8,10,10,NA,NA,10,8,8,NA,NA,8,5,5,NA,NA,5,8,8,NA,NA,8,11,11,NA,NA,11,5,5,NA,NA,5,11,11,NA,NA,11,10,10,NA,NA,10,7,7,NA,NA,7,8,8,NA,NA,8,97,97,NA,NA,97
Lakshadweep,'16.8.1',Number of Deaths due to Malaria- Plasmodium Vivax,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.8.2',Number of Deaths due to Malaria- Plasmodium Falciparum,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.8.3',Number of Deaths due to Kala Azar,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.8.4',Number of Deaths due to Dengue,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.8.5',Number of Deaths due to Acute Encephelitis Syndrome (AES),TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'16.8.6',Number of Deaths due to Japanese Encephalitis (JE),TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Lakshadweep,'15.5.1',Radiology - X-ray,TOTAL,1342,1342,NA,NA,1342,1298,1298,NA,NA,1298,1196,1196,NA,NA,1196,1650,1650,NA,NA,1650,1318,1318,NA,NA,1318,1608,1608,NA,NA,1608,1472,1472,NA,NA,1472,1247,1247,NA,NA,1247,1402,1402,NA,NA,1402,1546,1546,NA,NA,1546,1683,1683,NA,NA,1683,2412,2412,NA,NA,2412,18174,18174,NA,NA,18174
Lakshadweep,'15.5.2',Radiology - Ultrasonography (USG),TOTAL,482,482,NA,NA,482,276,276,NA,NA,276,439,439,NA,NA,439,396,396,NA,NA,396,385,385,NA,NA,385,416,416,NA,NA,416,464,464,NA,NA,464,467,467,NA,NA,467,150,150,NA,NA,150,455,455,NA,NA,455,720,720,NA,NA,720,533,533,NA,NA,533,5183,5183,NA,NA,5183
Lakshadweep,'17.1',Vaccine - DPT,1. Balance From Previous Month,530,NA,NA,NA,NA,430,NA,NA,NA,NA,220,NA,NA,NA,NA,170,NA,NA,NA,NA,560,NA,NA,NA,NA,280,NA,NA,NA,NA,230,NA,NA,NA,NA,510,NA,NA,NA,NA,850,NA,NA,NA,NA,620,NA,NA,NA,NA,390,NA,NA,NA,NA,160,NA,NA,NA,NA,4950,NA,NA,NA,NA
Lakshadweep,17.1',Vaccine - DPT,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,600,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,500,NA,NA,NA,NA,500,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1500,NA,NA,NA,NA,3100,NA,NA,NA,NA
Lakshadweep,17.1',Vaccine - DPT,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.1',Vaccine - DPT,4. Stock Distributed,100,NA,NA,NA,NA,210,NA,NA,NA,NA,50,NA,NA,NA,NA,270,NA,NA,NA,NA,280,NA,NA,NA,NA,50,NA,NA,NA,NA,220,NA,NA,NA,NA,160,NA,NA,NA,NA,230,NA,NA,NA,NA,230,NA,NA,NA,NA,230,NA,NA,NA,NA,50,NA,NA,NA,NA,2080,NA,NA,NA,NA
Lakshadweep,17.1',Vaccine - DPT,5. Total Stock,430,NA,NA,NA,NA,220,NA,NA,NA,NA,170,NA,NA,NA,NA,500,NA,NA,NA,NA,280,NA,NA,NA,NA,230,NA,NA,NA,NA,510,NA,NA,NA,NA,850,NA,NA,NA,NA,620,NA,NA,NA,NA,390,NA,NA,NA,NA,160,NA,NA,NA,NA,1610,NA,NA,NA,NA,5970,NA,NA,NA,NA
Lakshadweep,'17.2',Vaccine - Pentavalent,1. Balance From Previous Month,1100,NA,NA,NA,NA,670,NA,NA,NA,NA,550,NA,NA,NA,NA,500,NA,NA,NA,NA,440,NA,NA,NA,NA,120,NA,NA,NA,NA,60,NA,NA,NA,NA,1200,NA,NA,NA,NA,1630,NA,NA,NA,NA,1530,NA,NA,NA,NA,1130,NA,NA,NA,NA,830,NA,NA,NA,NA,9760,NA,NA,NA,NA
Lakshadweep,17.2',Vaccine - Pentavalent,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,500,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,590,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,3090,NA,NA,NA,NA
Lakshadweep,17.2',Vaccine - Pentavalent,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.2',Vaccine - Pentavalent,4. Stock Distributed,430,NA,NA,NA,NA,120,NA,NA,NA,NA,50,NA,NA,NA,NA,560,NA,NA,NA,NA,320,NA,NA,NA,NA,60,NA,NA,NA,NA,860,NA,NA,NA,NA,160,NA,NA,NA,NA,100,NA,NA,NA,NA,400,NA,NA,NA,NA,300,NA,NA,NA,NA,100,NA,NA,NA,NA,3460,NA,NA,NA,NA
Lakshadweep,17.2',Vaccine - Pentavalent,5. Total Stock,670,NA,NA,NA,NA,550,NA,NA,NA,NA,500,NA,NA,NA,NA,440,NA,NA,NA,NA,120,NA,NA,NA,NA,60,NA,NA,NA,NA,1200,NA,NA,NA,NA,1630,NA,NA,NA,NA,1530,NA,NA,NA,NA,1130,NA,NA,NA,NA,830,NA,NA,NA,NA,730,NA,NA,NA,NA,9390,NA,NA,NA,NA
Lakshadweep,'17.3',Vaccine - OPV,1. Balance From Previous Month,1000,NA,NA,NA,NA,840,NA,NA,NA,NA,600,NA,NA,NA,NA,600,NA,NA,NA,NA,720,NA,NA,NA,NA,80,NA,NA,NA,NA,40,NA,NA,NA,NA,1000,NA,NA,NA,NA,1700,NA,NA,NA,NA,8280,NA,NA,NA,NA,820,NA,NA,NA,NA,820,NA,NA,NA,NA,16500,NA,NA,NA,NA
Lakshadweep,17.3',Vaccine - OPV,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,900,NA,NA,NA,NA,7020,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,12920,NA,NA,NA,NA
Lakshadweep,17.3',Vaccine - OPV,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.3',Vaccine - OPV,4. Stock Distributed,160,NA,NA,NA,NA,240,NA,NA,NA,NA,0,NA,NA,NA,NA,880,NA,NA,NA,NA,640,NA,NA,NA,NA,40,NA,NA,NA,NA,1040,NA,NA,NA,NA,200,NA,NA,NA,NA,400,NA,NA,NA,NA,7460,NA,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,11160,NA,NA,NA,NA
Lakshadweep,17.3',Vaccine - OPV,5. Total Stock,840,NA,NA,NA,NA,600,NA,NA,NA,NA,600,NA,NA,NA,NA,720,NA,NA,NA,NA,80,NA,NA,NA,NA,40,NA,NA,NA,NA,1000,NA,NA,NA,NA,1700,NA,NA,NA,NA,8320,NA,NA,NA,NA,820,NA,NA,NA,NA,820,NA,NA,NA,NA,2720,NA,NA,NA,NA,18260,NA,NA,NA,NA
Lakshadweep,'17.4',Vaccine - TT,1. Balance From Previous Month,170,NA,NA,NA,NA,1910,NA,NA,NA,NA,1720,NA,NA,NA,NA,2420,NA,NA,NA,NA,2080,NA,NA,NA,NA,1680,NA,NA,NA,NA,1680,NA,NA,NA,NA,1380,NA,NA,NA,NA,2160,NA,NA,NA,NA,1660,NA,NA,NA,NA,1210,NA,NA,NA,NA,910,NA,NA,NA,NA,18980,NA,NA,NA,NA
Lakshadweep,17.4',Vaccine - TT,2. Stocks Received,2000,NA,NA,NA,NA,0,NA,NA,NA,NA,1000,NA,NA,NA,NA,240,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,800,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4040,NA,NA,NA,NA
Lakshadweep,17.4',Vaccine - TT,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.4',Vaccine - TT,4. Stock Distributed,260,NA,NA,NA,NA,190,NA,NA,NA,NA,300,NA,NA,NA,NA,580,NA,NA,NA,NA,400,NA,NA,NA,NA,0,NA,NA,NA,NA,300,NA,NA,NA,NA,20,NA,NA,NA,NA,500,NA,NA,NA,NA,450,NA,NA,NA,NA,300,NA,NA,NA,NA,0,NA,NA,NA,NA,3300,NA,NA,NA,NA
Lakshadweep,17.4',Vaccine - TT,5. Total Stock,1910,NA,NA,NA,NA,1720,NA,NA,NA,NA,2420,NA,NA,NA,NA,2080,NA,NA,NA,NA,1680,NA,NA,NA,NA,1680,NA,NA,NA,NA,1380,NA,NA,NA,NA,2160,NA,NA,NA,NA,1660,NA,NA,NA,NA,1210,NA,NA,NA,NA,910,NA,NA,NA,NA,910,NA,NA,NA,NA,19720,NA,NA,NA,NA
Lakshadweep,'17.5',Vaccine - DT,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.5',Vaccine - DT,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.5',Vaccine - DT,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.5',Vaccine - DT,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.5',Vaccine - DT,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,'17.6',Vaccine - BCG,1. Balance From Previous Month,90,NA,NA,NA,NA,830,NA,NA,NA,NA,630,NA,NA,NA,NA,460,NA,NA,NA,NA,220,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1220,NA,NA,NA,NA,1500,NA,NA,NA,NA,1380,NA,NA,NA,NA,1110,NA,NA,NA,NA,770,NA,NA,NA,NA,8210,NA,NA,NA,NA
Lakshadweep,17.6',Vaccine - BCG,2. Stocks Received,1000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1500,NA,NA,NA,NA,500,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,3000,NA,NA,NA,NA
Lakshadweep,17.6',Vaccine - BCG,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.6',Vaccine - BCG,4. Stock Distributed,260,NA,NA,NA,NA,200,NA,NA,NA,NA,170,NA,NA,NA,NA,240,NA,NA,NA,NA,220,NA,NA,NA,NA,0,NA,NA,NA,NA,280,NA,NA,NA,NA,220,NA,NA,NA,NA,120,NA,NA,NA,NA,270,NA,NA,NA,NA,340,NA,NA,NA,NA,100,NA,NA,NA,NA,2420,NA,NA,NA,NA
Lakshadweep,17.6',Vaccine - BCG,5. Total Stock,830,NA,NA,NA,NA,630,NA,NA,NA,NA,460,NA,NA,NA,NA,220,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1220,NA,NA,NA,NA,1500,NA,NA,NA,NA,1380,NA,NA,NA,NA,1110,NA,NA,NA,NA,770,NA,NA,NA,NA,670,NA,NA,NA,NA,8790,NA,NA,NA,NA
Lakshadweep,'17.7',Vaccine - Measles,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.7',Vaccine - Measles,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.7',Vaccine - Measles,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.7',Vaccine - Measles,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.7',Vaccine - Measles,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,'17.8',Vaccine - JE,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.8',Vaccine - JE,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.8',Vaccine - JE,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.8',Vaccine - JE,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.8',Vaccine - JE,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,'17.9',Vaccine - Hepatitis B,1. Balance From Previous Month,820,NA,NA,NA,NA,600,NA,NA,NA,NA,400,NA,NA,NA,NA,310,NA,NA,NA,NA,210,NA,NA,NA,NA,40,NA,NA,NA,NA,20,NA,NA,NA,NA,1410,NA,NA,NA,NA,1590,NA,NA,NA,NA,1590,NA,NA,NA,NA,1460,NA,NA,NA,NA,1180,NA,NA,NA,NA,9630,NA,NA,NA,NA
Lakshadweep,17.9',Vaccine - Hepatitis B,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,300,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2300,NA,NA,NA,NA
Lakshadweep,17.9',Vaccine - Hepatitis B,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.9',Vaccine - Hepatitis B,4. Stock Distributed,220,NA,NA,NA,NA,200,NA,NA,NA,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,170,NA,NA,NA,NA,20,NA,NA,NA,NA,610,NA,NA,NA,NA,120,NA,NA,NA,NA,0,NA,NA,NA,NA,130,NA,NA,NA,NA,280,NA,NA,NA,NA,100,NA,NA,NA,NA,2040,NA,NA,NA,NA
